split,audio_path,syllabary,target
train,training_data/processed/sentence_audio/Sentence_for_entry_1368_01.wav,ᏂᎬ ᎤᏪᏍᏓᏁᎵᏙᎰ ᎠᏗᎭ,nikhv uwehstanelitoho atiha
train,training_data/processed/sentence_audio/Sentence_for_entry_1111.wav,ᎭᏢ ᏥᏯ ᎬᏃᏌᏍᏗ,halhv tsiya kvnohsahsti
train,training_data/processed/sentence_audio/Sentence_for_entry_0746.wav,ᎦᏙᏍᎩᏂ ᎤᏍᏗ ᏄᏩᏁ ᏥᏚᎦᏍᏗᎭ,katohskin uhsti nuwane tsitukhstiha
train,training_data/processed/sentence_audio/Sentence_for_entry_0153_02.wav,ᎭᏰᎵᏍᏗ ᎬᏗ ᎠᎬᎭᎵ ᎦᏚ ᎤᎦᎾᏍᏓ,hayelhsti kvhti akvhali katu ukanahsta
train,training_data/processed/sentence_audio/Sentence_for_entry_1787.wav,ᏞᏍᏗ ᏱᏤᎵᎯᏍᎨᏍᏗ,lhehsti yitselihihskehsti
train,training_data/processed/sentence_audio/Sentence_for_entry_1677.wav,ᎤᎵᏏ ᎤᏅᏁᎸ ᎦᏌᎴᏂ,ulihsi unvnelv kahsaleni
train,training_data/processed/sentence_audio/Sentence_for_entry_1789.wav,ᎤᏪᏘ ᎣᏏ ᎠᎦᎾᏬᎯᏍᏗᎢ ᎤᎭ,uwethi ohsi akanawohihsti'i uha
train,training_data/processed/sentence_audio/Sentence_for_entry_1286.wav,ᎠᎹᏛ ᎠᏎ ᎤᏪᏓᏍᏗ ᎧᏁᏌᏝ ᏣᏖᏴᏍᎦ,amatv ahse uwetahsti khanehsalha tsatheyvhska
train,training_data/processed/sentence_audio/Sentence_for_entry_1249.wav,ᎢᎦ ᎤᏂᏲᎯᏍᏗ ᏧᏂᎸᏫᏍᏓᏁᎯ,ika uniyohihsti tsunilvwhstanehi
train,training_data/processed/sentence_audio/Sentence_for_entry_1538.wav,ᎯᎳ ᎾᏂᎠ ᎤᎾᏕᎩ ᏕᏥᎧᎭ,hila nani'a unateki tetsikhaha
train,training_data/processed/sentence_audio/Sentence_for_entry_1363_02.wav,ᏪᏌ ᏂᎦᏪᎠ,wehsa nikawe'a
train,training_data/processed/sentence_audio/Sentence_for_entry_1644.wav,ᎤᏂᏣᏘ ᏄᎾᏛᏅ ᏴᏫ ᎠᏥᏂᏴᎲ ᎤᏴᏍᏕᏓ,unitsathi nunatvnhv yvwi atsi'niyvhv uyhvhsteta
train,training_data/processed/sentence_audio/Sentence_for_entry_1804.wav,ᎤᏰᎸᎭ ᎤᏓᏬᎥ ᎤᏪᏴᎢ,uyelvha utawo'v uweyv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0070.wav,ᎠᏕᎳᏧᏢ ᎤᏪᏅᏍᏗ ᎤᏚᎵᎭ,atelatsulhv uwenvhsti utuliha
train,training_data/processed/sentence_audio/Sentence_for_entry_0923.wav,ᎢᏤ ᎠᏓᏁᎸ ᎦᏁᎳ,itse atanelv kanela
train,training_data/processed/sentence_audio/Sentence_for_entry_0713_01.wav,ᎦᏙᎲ ᏗᎾᏓᎿᏫ ᏄᎾᎵᏍᏔᏁᎢ,katohv tinatanhawi nunalhsthane'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0248.wav,ᎠᏴᏫᏯ ᎠᏤᎸᏍᎦ,ayvwiya atselvhska
train,training_data/processed/sentence_audio/Sentence_for_entry_0404.wav,ᎤᏩᎨᏫᏒ ᎤᏎᏍᏙᏗ ᎣᎩᎾᎵᎢ,uwakhewhsv uhsehstohti okinali'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0506.wav,ᎯᏲᎵᎦᏍ Ꮎ ᎠᏫᎾ,hiyolikahs na awina
train,training_data/processed/sentence_audio/Sentence_for_entry_0368.wav,ᏓᏆᎴᎳ ᎤᏂᎩᏍᏙᏗ ᎠᏁᏟᏗᎭ,takwalela unhikihstohti anelhtiha
train,training_data/processed/sentence_audio/Sentence_for_entry_1007.wav,ᏙᎯᏳ ᎤᎸᏉᏗ ᎤᏪᏢᏗ,tohiyu ulvkwhti uwelhvti
train,training_data/processed/sentence_audio/Sentence_for_entry_0335.wav,ᎠᎵᏍᏕᎸᏙᏗ ᎤᏔᏲᏢ ᏗᏕᏠᏆᏍᎩ,alhstelhtohti uthayolhv titelhkwahski
train,training_data/processed/sentence_audio/Sentence_for_entry_0773.wav,ᎡᎿᎢ ᎠᎾᏓᏴᎳᏛᏍᎬ ᏚᎦᏙᏍᏗ,enha'i anatayvlathvhskv tukhthohsti
train,training_data/processed/sentence_audio/Sentence_for_entry_1544.wav,ᏙᏳ ᎤᏗᏞᎦ ᎪᎯ ᎢᎦ,toyu utilhehka khohi ika
train,training_data/processed/sentence_audio/Sentence_for_entry_0626.wav,ᎢᎦᏓ ᏓᏬᎵ ᎠᏃᏍᏓ ᏗᎦᏰᏍᏗ ᎢᎦᏓᏃ ᎠᎾᏓᎯᎯ,ikata tawoli anohsta tikayhehsti ikatanho anatahihi
train,training_data/processed/sentence_audio/Sentence_for_entry_1686_01.wav,ᎬᏃᏌᏍᏓ ᎤᎵᏍᏆᎵᏓ ᏥᏴᏩᏔ,kvnohsahsta ulhskwalita tsiyvwahtha
train,training_data/processed/sentence_audio/Sentence_for_entry_0416.wav,ᎦᏙ ᎤᏍᏗ ᏚᏓᎴᎿᎢ ᎠᏍᎩᎾ ᏎᏓᏂᏃ,kato uhsti tutalenha'i ahskina hsetaninho
train,training_data/processed/sentence_audio/Sentence_for_entry_0447.wav,ᏍᏓᏯ ᎭᏐᏅᏍᏓ,staya hahsonhsta
train,training_data/processed/sentence_audio/Sentence_for_entry_1748.wav,ᎣᎩᎾᎵᎢ ᎤᏒ ᏚᎸᏫᏍᏓᏁᎰᎢ,okinali'i uhsv tulvwhihstaneho'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0303_02.wav,ᏂᎪᎯᎸ ᏴᏫ ᏓᎳᏍᏓᎡᏍᎪᎢ,nikohilv yvwi talahsta'ehsko'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0411.wav,ᎩᎶᎢᏍ ᎡᎭ ᎠᏍᎦᎾ ᏂᎨᏒᎾ,khilo'ihs eha ahskana nikehsvna
train,training_data/processed/sentence_audio/Sentence_for_entry_1715_01.wav,ᎤᎭᎸᏂ ᎤᏃᏴᎪ ᎤᏓᎴᏅᏗ ᏱᎩ ᏓᏂᎳᏫᎬᎢ,uhalvni unoyhvhko utalenhti yiki tanilawikv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0945.wav,ᏧᎾᏓᏍᏚᏗ ᎤᎵᏘᏌ ᎤᎿᏬ ᎤᏂᏯᏍᏔᏅᎢ,tsuntahstuti ulthihsa unhawo uniyahsthanv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0283_01.wav,ᎩᎶ ᎤᏯᏂᏍᎬ ᎤᏛᎦᎾ ᎤᎦᏔᎲᏒᎢ,khilo uyhanihskv uthvkana ukhthahvhsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1330.wav,ᎠᏂᎪᏕᏍᎩ ᎪᎱᏍᏗ ᏗᏋᏂ,anikhotehski kohuhsti tikwvnhi
train,training_data/processed/sentence_audio/Sentence_for_entry_0230.wav,ᎭᏛᎩᎠᏍ ᎠᏴᏓᏆᎶᏍᎬ,hahthvki'ahs ayhvtakwalohskv
train,training_data/processed/sentence_audio/Sentence_for_entry_0180.wav,ᎠᏟᎶᏍᏗ ᎡᏍᎩᏗᏏ,alhilohsti ehskitihsi
train,training_data/processed/sentence_audio/Sentence_for_entry_0532.wav,ᏦᎢ ᏧᏕᏘᏴᏓ ᏥᏲᏍᎩ ᎨᏒᎢ,tso'i tsutethiyvta tsiyohski kehsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0807.wav,ᎠᏏᎳᏛ ᎦᏛ ᎠᎿᏬ ᎤᏙᏒᎢ,ahsila'tv ka'tv anhawo utohsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0260.wav,ᎧᏫ ᎤᏗᏞᎩ ᎠᏦᏔᏍᎦ,khawhi utilheki atsothahska
train,training_data/processed/sentence_audio/Sentence_for_entry_0170.wav,ᎪᎱᏍᏗ ᎦᎵᏍᏓ ᎠᎯᎸᏍᏗᎢ,kohuhsti kalhsta ahi'lvhsti'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1828.wav,ᏩᎦ ᎭᏫᏯ ᎠᎩᎸᏉᏗ ᎠᎩᎩᏍᏗᎢ,wahka hawiya akilvkwhti akikihsti'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1685.wav,Ꮭ ᎠᏎ ᎤᎵᏍᎨᏓ ᏱᎨᏎᎢ,lha ahse ulhsketa yikehse'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1810_02.wav,ᎤᏙᎯᏳ ᎤᏲᏨ ᎠᏲᏟ ᎤᏪᎧᎭ,utohiyu uyotsv ayolhi uwekhaha
train,training_data/processed/sentence_audio/Sentence_for_entry_0270.wav,ᏥᏴᏤᏂ ᎠᏇᎯᏍᏓᏁᎲ ᎢᏳᏍᏗ ᏎᎦᏨ ᏥᎩᏍᎦ,tsiyvhtseni akwehihstanehv iyuhsti hsekatsv tsikihska
