path,sentence
data/processed/conrad_wavs/wwacc_0004-WWConvoCherokee-02-000015875.wav,Gá:gō nà:sgi?
data/processed/conrad_wavs/wwacc_0005-WWConvoCherokee-02-000021415.wav,Ja:li Táɂlidí:hihi
data/processed/conrad_wavs/wwacc_0006-WWConvoCherokee-02-000027895.wav,Ja:ni u:du:ji.
data/processed/conrad_wavs/wwacc_0007-WWConvoCherokee-02-000034235.wav,Ǔ:ha ǔ:tana adladí:tlaɂi.
data/processed/conrad_wavs/wwacc_0008-WWConvoCherokee-02-000042115.wav,diga:dú:hv̋ dayé:si ge:líɂa.
data/processed/conrad_wavs/wwacc_0009-WWConvoCherokee-02-000049935.wav,Ha:dlv Ja:ni na:gwu?
data/processed/conrad_wavs/wwacc_0010-WWConvoCherokee-02-000055825.wav,Daligwa ge:líɂa
data/processed/conrad_wavs/wwacc_0011-WWConvoCherokee-02-000059735.wav,we:dó:ha. Ja:li nahna sgwu dayé:si.
data/processed/conrad_wavs/wwacc_0012-WWConvoCherokee-02-000069795.wav,Ja:ni Táɂldí:hihi ő:sda asgaya.
data/processed/conrad_wavs/wwacc_0013-WWConvoCherokee-02-000077915.wav,u:do:hiyű.
data/processed/conrad_wavs/wwacc_0014-WWConvoCherokee-02-000081245.wav,Ja:li ő:sda na:sgwu.
data/processed/conrad_wavs/wwacc_0015-WWConvoCherokee-02-000086915.wav,Ja:nisgo ǔ:ha adladí:tlaɂi na:sgwu?
data/processed/conrad_wavs/wwacc_0016-WWConvoCherokee-02-000092845.wav,v:v. ǔ:ha.
data/processed/conrad_wavs/wwacc_0017-WWConvoCherokee-02-000097895.wav,Ja:lisgo uwǎ:sa
data/processed/conrad_wavs/wwacc_0018-WWConvoCherokee-02-000101525.wav,eha Ja:ni u:du:ji?
data/processed/conrad_wavs/wwacc_0019-WWConvoCherokee-02-000106935.wav,u:do:hiyű. uwǎ:sagwu.
data/processed/conrad_wavs/wwacc_0021-WWConvoCherokee-03-000005145.wav,Kò:hi̋ i:ga Joɂi:ne̋ i:ga.
data/processed/conrad_wavs/wwacc_0022-WWConvoCherokee-03-000010495.wav,aga:sga ale u:nǐ:jati yv:wi diga:dú:hv̋ dvne:si
data/processed/conrad_wavs/wwacc_0023-WWConvoCherokee-03-000019645.wav,dodidánaɂnv ale Ja:ni Táɂldí:hihi na:sgwu daye:si adláditlaɂíɂi.
data/processed/conrad_wavs/wwacc_0024-WWConvoCherokee-03-000037675.wav,ge:sa ge:salíni udu:li ale goɂi
data/processed/conrad_wavs/wwacc_0025-WWConvoCherokee-03-000044655.wav,ale yígi ije ahtlv́di.
data/processed/conrad_wavs/wwacc_0026-WWConvoCherokee-03-000055355.wav,ju:dósgwu dvné:si. nvdigáhlsdohdi dunadu:li di:je dihnuwo
data/processed/conrad_wavs/wwacc_0027-WWConvoCherokee-03-000064885.wav,ale juwo:dű
data/processed/conrad_wavs/wwacc_0028-WWConvoCherokee-03-000069925.wav,digatvdi
data/processed/conrad_wavs/wwacc_0029-WWConvoCherokee-03-000076665.wav,nani:ɂv unilv́kwdi unedasdi diga:dú:hv̋.
data/processed/conrad_wavs/wwacc_0030-WWConvoCherokee-03-000084135.wav,u:do:hiyű.
data/processed/conrad_wavs/wwacc_0031-WWConvoCherokee-03-000087575.wav,na:sgwu
data/processed/conrad_wavs/wwacc_0033-WWConvoCherokee-03-000100405.wav,uwe:nvsdi diga:dú:hv̋. ge:líɂa.
