path,sentence
cherokee_new_testament/split_audio/mark_01_01.wav,"atalenihskv yihstv khanohetv, tsihsa kalonetv unelhanvhi uwetsi utselika."
cherokee_new_testament/split_audio/mark_01_02.wav,"nahskiya hi'a tsinikvnhv tsikowhela anatolehohskiyi; khvnhiyukwo, tsinvli tsinvhsitahsti tsahkhathv ikvyititlv, nahski tatsatvnv'ihstaneli tsalohihstiyi ikvyititlv."
cherokee_new_testament/split_audio/mark_01_03.wav,"uwelhuhka khilo inake'i, hi'a nikweha; etsatvnv'ihstahsi yihowa ulohihstiyi, tunvnhv titsitsinohihsta."
cherokee_new_testament/split_audio/mark_01_04.wav,"tsani tatawohske inake'i, ale alhtsitohvhske khanohehske titawehsti kehsv kanetliyvhstiyi otanhthv ukvwalhi nahski kayvtathinetiyi ahskanvtsv'i."
cherokee_new_testament/split_audio/mark_01_05.wav,"ale wikvwaluhtshele nikvnathv tsutiyi ale tsiluhsilmi anehi, ale nikatv nahski tunhawo'e tsotani uweyv'i, unihskanvtsv aninhohvhske'i."
cherokee_new_testament/split_audio/mark_01_06.wav,"tsani'nho unhuwe' khemili uhsthiyenhvhi, kanotsinho utatlohste'i; vlenho ale watulihsi inake ehi alihstayvtihske'i."
cherokee_new_testament/split_audio/mark_01_07.wav,"alhtsitohvhskenho hi'a nikawehske'i v utli ulhiniktiyu ehskakwo ayv onhi taya'i, nahski tsulahsulokih takhanehsa'tv vlha yeli yiniko'i akwatihsattihstiyi ale tikikhaneyhvhtiyi."
cherokee_new_testament/split_audio/mark_01_08.wav,"ayv utohiyuhi ama tetsvyawohsthanv, nahskihskini kalvkwtiyu atanhto totatsawohsthani."
cherokee_new_testament/split_audio/mark_01_09.wav,"nahiyunho hi'a nulhsthane'i, tsihsa nahseliti tsulohse nahski kelili tsikatuha, ale tsani utawo'e tsotani."
cherokee_new_testament/split_audio/mark_01_10.wav,"khilakwono iyvtv tsunhahluhsv amayi tsuta'nvhsv, ukohe kalvlohi ulhstu'itv kehse'i, ale atanvhto kuletihskonhihi nahskiyi, tsutlo'ahsitihse nahski uweyalvtse'i."
cherokee_new_testament/split_audio/mark_01_11.wav,"ale hi'a nvtsuwehse kalvlati, nihi kvkeyu'i akwetsi i nahski ohsiyu kvyelv'i tsiki."
cherokee_new_testament/split_audio/mark_01_12.wav,khilakwonh iyvtv atanto' inake wuthinhvhsthane'i.
cherokee_new_testament/split_audio/mark_01_13.wav,"nanhahnho inake etohe nvkahskohi tsuhsvhitv, setani ukoliyehske'i; ale inake enhahi tekhelatitohe'i; ale tinikhanhhawatitohi kvwahstelvhitohe'i."
