path,sentence
cherokee_new_testament/split_audio/matthew_01_01.wav,hi'a kowheli khanoheha tsunelhthanvhsv tsihsa kalonetvhi tewi uwetsiav ekwahami uwetsi.
cherokee_new_testament/split_audio/matthew_01_02.wav,ekwahami ehsiki utenhele'i; ehsikinho tsekakwi utenhele'ihi tsekakwinho tsuta ale nahski anatanvtli kvwatenhele'i;
cherokee_new_testament/split_audio/matthew_01_03.wav,tsutanho kwelihsi' ale hsela kvwatenhele'i thema tunanukowihse'i; kwelisino ihsilami utenhele'i'i ihsilaminho elimi utenhele'i;
cherokee_new_testament/split_audio/matthew_01_04.wav,eliminho eminitakwi utenhele'i v eminitakwinho nahsoni utenhele'i; nahsonino hsalima utenhele'i;
cherokee_new_testament/split_audio/matthew_01_05.wav,salimanho kwohsi utenhele'i lehawi unalvkowhihse'i; kwohsinho okweti utenhele'i' luhsi unanukowhihse'i a okwetinho tsehsi utenhele'i;
cherokee_new_testament/split_audio/matthew_01_06.wav,tsehsinho tewi ukvwiyuhi utenhele'iyv tewinh ukvwiyuhi hsolimanv utenheli yulaya utayhvtv unanukowhihse'i;
cherokee_new_testament/split_audio/matthew_01_07.wav,hsolimanvnho lokwoma utenhele'i i lokwomanho ekwaya utenhele'i v ekwayanho ehsi utenhele'i;
cherokee_new_testament/split_audio/matthew_01_08.wav,ehsinho tsohsikwa utenhele'i.  tsohsikwanho tsolami utenhele'i; tso'laminho ohsaya utenhele'i;
cherokee_new_testament/split_audio/matthew_01_09.wav,ohsayanho tsotami utenhele'i; tsotaminho ehahsi utenhele'i; ehahsinho hehsikaya utenhele'i;
cherokee_new_testament/split_audio/matthew_01_10.wav,hehsikayanho manasi utenhele'i; manahsinho amoni utenhele'i; amoni'nho tsohsaya utenhele'i;
cherokee_new_testament/split_audio/matthew_01_11.wav,tsohsayanho tseknaya ale anatanvtli kvwatenhele'i; nahiyu tatiloni tsiwitikekathinhvhsthane'i;
cherokee_new_testament/split_audio/matthew_01_12.wav,tatiloninho witikekathinolhv tsekonaya salatayili utenhele'i v saltayilinho tsilakweli utenhele'i;
cherokee_new_testament/split_audio/matthew_01_13.wav,tsilakwelinho akwayati utenhele'i v akwayahtinho ilaykimi utenhele'i; ilayakiminho ehso utenhele'i;
cherokee_new_testament/split_audio/matthew_01_14.wav,ehsonho hsetoki utenhele'i; setokinho ekimi utenhele'i; ekiminho ilayti utenhele'i;
cherokee_new_testament/split_audio/matthew_01_15.wav,ilayatino iliesa utenhele'iha ili'ehsanho matani utenhele'i v matani'nho tsekakwi utenhele'i;
cherokee_new_testament/split_audio/matthew_01_16.wav,"tsekakwinho tsowa utenhele'i, nahski meli uyhehi nahski tsunanukowhihse tsihsa kalonetv tsanohaho'i."
cherokee_new_testament/split_audio/matthew_01_17.wav,nahskinho nikatv nunatanetliyvhsv ekwahami tsehe nahiyu nvtakvwatalenvtv tewinho tsehe nvtvhsthi nika'tu nuntanetliyvhse'i; tewinho tsehe nahiyu nlikvwatalenvtv tatiloninho tsiwitikekathinhvhsthane nahiyu nvtvhsthi nika'tu nuntanetliyvhse'i; tatiloninho nahiyu tsiwitikekathinhvhsthane utayutalenvtv tsihsanho tsutenhe nahiyu nvtvhsthi nika'tu nunatanetliyvhse'i.
cherokee_new_testament/split_audio/matthew_01_18.wav,"nahskinho hi'a nulhsthanitole utenhv tsihsa kalonetv.  nahski meli tsihsa' utsi tsowa utayhvhsti v ahsikwo nitanatshekvna kehse'i, unelitse kalvkwtiyu atanto utanhthelhvhi."
cherokee_new_testament/split_audio/matthew_01_19.wav,"tsowa nahski na tsunatshvhsti utanhthiyhu kehsv iyuhsti, ale nutulihskvna kehsv' iyuhsti' kvnikehshv utehohihstohtiyi, utelitvkwo iyvtv wvtatsiyahkhanhi, uwelihse'i."
cherokee_new_testament/split_audio/matthew_01_20.wav,"ahsenho ahsikwo hi'a nahski nuhste atanhthehske'i, kvnhiyukwo tikhanhahwatitohi yihowa unvhsitv khvnikehsv nutvnhele ahskitskv'i, hi'a nikawehske'i i tsowa, tewi uwetsi, lhehsti tsahskalv hiyanvtiyi meli tsatayhvhsti v nahskiyhenho na tsikaneli kalvkwtiyu atanhto utanthelhvhi;"
cherokee_new_testament/split_audio/matthew_01_21.wav,"ale takananukowhihsi atshutsa v nahskinho tsihsa tehiyo'vha, tsutseliyhenho yvwi totvhstelvhi' totakutalehsi unihskanvtsv'i."
cherokee_new_testament/split_audio/matthew_01_22.wav,nahskino hi'a nikatiyu nulhsthnitole utohiyuhtiyi ayelvhsv'i hi'a tsinuwehse yihowa atolehohski akvtihskv'i;
cherokee_new_testament/split_audio/matthew_01_23.wav,"khvniyukwo athv natsiyehvna kanelitv kehsehsti, ale takananukowhihsi atshutsaav nahskino' imanu'eli anohsehehsti, nahski anhelhthanvhi kehsv' hi'a nuhsti kathka, unelhanvhi ikelatitoha."
cherokee_new_testament/split_audio/matthew_01_24.wav,"tsowano uyetsv ulhvnhv'i tikhanhahwtitohi yihowa nvtayunvhsitv nuwehselv nutvnele'i, uyhanvhkekwo utayhvhsti."
cherokee_new_testament/split_audio/matthew_01_25.wav,"ale' vlha yukhthovhse'i khvnhi unanukowhihsv ikvyi ehi uwetsi atshutsa, tsihsanho suwo'e'i."
cherokee_new_testament/split_audio/matthew_02_01.wav,"tsihsanho utenhv katuyi katuhv tsutiyi v nahiyu tsehe elotv ukvwiyuhiav khvnhiyukwo uniluhtse tsiluhsilimi anikhthanhahi nvto tikhalvkv ititlv tsunilohse'i,"
cherokee_new_testament/split_audio/matthew_02_02.wav,"hi'a nuniwehse'i v hatlv na tsutenhv ukvwiyhi anitsuhsi unatselika, okikohvyhenho utseli nokwihsi tikhalvkv ititlv, ale otsatatolihstanelika."
cherokee_new_testament/split_audio/matthew_02_03.wav,"elotno ukvwiyuhi uthvkanv' nahskiav uwelihihsti utanvhtate'i, ale nikatv tsiluhsilmi anehi."
cherokee_new_testament/split_audio/matthew_02_04.wav,"tulawithvnho nikatv nunikvwiyuhsv atsilv anelhohi v ale yvwi tinowhelanehi, tuthvtvnhe'ivi nanhahutehti kehsv kalonetv."
cherokee_new_testament/split_audio/matthew_02_05.wav,hi'anho nikvwawehsele'i; tsutiyi katuy katuhv'i; hiayhenho nuwanhv uwowhela atolehohski;
cherokee_new_testament/split_audio/matthew_02_06.wav,"ale nihi katuyi katuhv tsutiyi, vlhahskini tsahstikhani yiki v tsilotahsuya nunikvwiyuhsv tsutiyi, nihiyhenho tatsanukotsi tikwatseli yvwi ihsili-tikhanetsehi."
cherokee_new_testament/split_audio/matthew_02_07.wav,"nhahkwono elotv utelitv wituyhanvhv nahski anikhthanhahi, ohstv tuthvthihsanhe' iyukwo nahski nokwsi unanukotsv'i."
cherokee_new_testament/split_audio/matthew_02_08.wav,"ale tunvhse katuyi, hi'a nuwese'i i itsena ohstv wetsiyoka nahski uhsti ayolhi, iyunho etsiwahthvhvha a ihskinonhelilhvha v ayvnho nahskwo witsiluhtsvha, ale tsiyatatolihstanelvha."
cherokee_new_testament/split_audio/matthew_02_09.wav,"unathvkanhonhelvnho ukvwiyuhi unanhikihse'i v kvnhiyukwonho nokwsihv nahski' unikohvhi tikhalvkv' ititlv, ikvyi unenv'ele'i v khvnhi wuluhtsilhv ale ulewhihsthanv' kalvlatitlv nnhahaatslhi ehv'i."
cherokee_new_testament/split_audio/matthew_02_10.wav,"unikohvnho nahski nokwsi, ulothanvhi unalihelitse'i."
cherokee_new_testament/split_audio/matthew_02_11.wav,"atanelvnho uniyvlhv unikohe ayolha ale utsi meli i ale elati tunatanvne'iav unatatolihstanele'ihi ale tsukvwalhohti unihlanvtv tunihstu'ihsv uninhelvne nvnalhskolhthanvhi, atelv-talonitv, ale ukanahstv kawhsvki atlat ale mila."
cherokee_new_testament/split_audio/matthew_02_12.wav,anahskitskvnho unelanvhi tunetselv elotvyi wunilohihstiyi nikehsvna a unanhikihsv utsathinikwo ititlv wunilohse iunenv unatselikohi.
cherokee_new_testament/split_audio/matthew_02_13.wav,"unanhikihsvnho khvnhiyukwo tikhanhahwtitohi unvhsitv yihowa khvnikehsv nutvnhele tsowa' ahskitskv'i, hia nuwehsele'i; thalehvkaav ale thathinhuka ayolhi ale utsi a'le halithihu itsikwi whilohi, nanhhanho whehehsti khvni wikvnetselvhahi elotvhyenho ahse tvyholi uhsti ayolhi uhihstiyi."
cherokee_new_testament/split_audio/matthew_02_14.wav,nhahkwono tulenhv uthinhvhse ayolhi' ale utsi' svnoyihi ale itsitvyi wulohse'i.
cherokee_new_testament/split_audio/matthew_02_15.wav,"ale nanhahwehe khvnhi elotv uyohuhsvhv utohiyunhe unelhanvhi unhetsv'i i atolehohski tsuwhthane'i, hi'a tsinuwehse'i; itsikwiyi witsiyanvhv akwetsi."
cherokee_new_testament/split_audio/matthew_02_16.wav,"nhahkwono elotv utolehohsv anikhthanhahahi kvwalitahsthanv'i i utsahthanvhi uthalhawohse'i v ale utanvhse witunihonhe nikatv tiniyolhi katuyi anehi, ale nikatv nkvnatv nanhahani, tha'li iyunatethiyvtv wahsthiai nahiyu nvtayutalenvtv tsitalhsinhihstanehe tsitathvtvhelhv'vhske anikhthanhahi."
cherokee_new_testament/split_audio/matthew_02_17.wav,"nhahkwonho utohiyunhe tselimay atolehohski unhetsvhi, hale tsinuwehse'i;"
