path,sentence
cherokee_new_testament/split_audio/matthew_01_01.wav,hi'a kowheli khanoheha tsunelvhthanvhsv tsihsa kalonetv tewi uwetsi ekwahami uwetsi
cherokee_new_testament/split_audio/matthew_01_02.wav,ekwhami ehsiki utenhele'i ehsikino tsekakwi utenhele'i tsekakwin tsuta ale nhski anathanvtli kvwatenhele'i
cherokee_new_testament/split_audio/matthew_01_03.wav,tsutano kwelihsi ale hsela kvwatenhel'i thema tunanukowhihse'i kwelihsino ihsilami utenhel'i ihsilamino elimi utenhele'i
cherokee_new_testament/split_audio/matthew_01_04.wav,eliminho eminitakwi utenhele'i eminitakwino nahsoni utenhele'i nahsonin hsalima utenhele'i
cherokee_new_testament/split_audio/matthew_01_05.wav,salimanho kwohsi utenhele'i lehawi unalvkowhihse'i kwohsino okweti utenhele'i luhsi unanukowhihse'i okwetinho tsehsi utenhele'i
cherokee_new_testament/split_audio/matthew_01_06.wav,tsehsinho tewi ukvwiyuhi utenhele'i tewino ukvwiyuhi hsolimanv utenhele'i yulaya utayhvtv unanukowhihse'i
cherokee_new_testament/split_audio/matthew_01_07.wav,solimannho lokwoma utenhel'i lokwomanho ekwaya utenhele'i ekwayano ehsi utenhele'i
cherokee_new_testament/split_audio/matthew_01_08.wav,ehsinho tsohsikwa utenhele'i tsohsikwanho tsolami utenhele'i tsolamino ohsaya utenhel'i
cherokee_new_testament/split_audio/matthew_01_09.wav,ohsayano tsotami utenhele'i tsotamino ehahsi utenhele'i ehahsino hehsikaya utenhele'i
cherokee_new_testament/split_audio/matthew_01_10.wav,hehsikayanho manahsi utenhel'i manahsino amoni utenhele'i amonhinho tsohsaya utenhele'i
cherokee_new_testament/split_audio/matthew_01_11.wav,tsohsayno tseknaya ale anathanvtli kvwatenhele'i nahiyu tatiloni tswitikekathinhvhsthane'i
cherokee_new_testament/split_audio/matthew_01_12.wav,tatilonino witikekathinolhv tsekonaya hsaltayili utenhele'i hsalatayilino tsilakweli utenle'i
