path,sentence
cherokee_new_testament/split_audio/mark_01_03.wav,uwelhukha khilo inakhei hi'a nikhaweha etsathvnhv'ihsthahsi yihowa ulohihsthiyi thunvnhv thitsitshinohihstha
cherokee_new_testament/split_audio/mark_01_04.wav,tsani thathawohskhe inakhei ale alihtsithohvhskhe khhanohehskhe thithawehsthi khehsv khanetlhhiyvhsthiyi othanvhthv ukhvwalhi nahskhi khayvthathhinethiyi ahskhanvtsv'i
cherokee_new_testament/split_audio/mark_01_05.wav,ale wikhvwaluhtsele nikhvnathv tsuthiyi ale tsiluhsilmi anehi ale nikhathv nahskhi thunawo'e tsothani uweyv'i unihskhanvtsv aninhohvhskhe'i
cherokee_new_testament/split_audio/mark_01_06.wav,tsaninho unhuwe khemili uhsthiyenhvhi khanotsinho uthatlhhohsthe'i vlenho ale wathulihsi inakhe ehi alihsthayvhthihskhe'i
cherokee_new_testament/split_audio/mark_01_07.wav,alhitsithohvhskhenho hi'a nikhawehskhe'i utlhhi ulhinikhthiyu ehskhakwh ayv onhi thaya'i nahskhi tsulahsulokhihi thakhhanehsa'thv vtlhha yeli yinikho'i akwhathihsthathihsthiyi ale thikhikhhaneyhvhthiyi
cherokee_new_testament/split_audio/mark_01_08.wav,ayv uthohiyuhi ama thetsvyawohsthhanv nahskhihskhini khalvkwhthiyu athanvhtho thothatsawohsthhani
cherokee_new_testament/split_audio/mark_01_09.wav,nahiyunho hi'a nulhsthhane'i tsihsa nahselithi tsulohse nahskhi khelili tsikhathuha ale tsani uthawo'e tsothani
cherokee_new_testament/split_audio/mark_01_10.wav,khilakwhono iyvth tsunhaluhsv amayi tsutha'nvhsv ukhohe khalvlohi ulhsthu'ith khehse'i ale athanvtho khulethihskhonhi nahskhiyai tsutlhhohsithihse nahskhi uweyalvtse'i
cherokee_new_testament/split_audio/mark_01_11.wav,ale hi'a nvtsuwehse khalvlathi nihi khvkheyu'i akwhetsi nahskhi ohsiyu khvyelvi tsikhi
cherokee_new_testament/split_audio/mark_01_12.wav,khilakwhono yvth athanvtho inakhe wuthhinhvhsthhane'i
cherokee_new_testament/split_audio/mark_01_13.wav,nanhanho inakhe ethohe nvkhhskhohi tsuhsvhithv hsethani ukholiyehskhei al inakh enhi thekhelathithohe'i ale thinikhhanhawathithohi khvwahsthelvhithohe'i
cherokee_new_testament/split_audio/mark_01_14.wav,tsaninho thithahsthuthiyi natsiyvthhanei tsihsa khelili uluhtse'i alihtsthohvhskhe ohsthv khhanoheth unlanvhi ukhvwiyuhi khehsv ukhvwalhi
cherokee_new_testament/split_audio/mark_01_16.wav,khelilinho vthali ulthi a'ihsv'i thukhohe hsawani ale enithi nahskhi thinathanhvtlhhi vthali anikhayalu'vhskhe'i anikhayalu'vhskhiyhenho khehse'i
cherokee_new_testament/split_audio/mark_01_17.wav,tsihsano hi'a nthuwehselei hskhinihsthawathukha yvwino thihsthikhyalu'vhskhi nvthhsthvyvneli
cherokee_new_testament/split_audio/mark_01_18.wav,khilakwhono iyvth thuniyohse tsunikhyaluthi ale khvwhsthawathvhse'i
cherokee_new_testament/split_audio/mark_01_19.wav,nanhano wi'uwenv uhsthikhithv thukhohe tsimi tsekwhith uwetsi tsaninho nahskhi thinathanhvtlhhi nahskhino nahskwh unatsa'e tsiyuhi thanotlhhvhihsihskhe tsunikhayaluthi
cherokee_new_testament/split_audio/mark_01_20.wav,khilakwhno iyvth nahskhi withuyanvhe'i unvthetsvnho unithotha tsekwhithi khekhakhuyv'ehi tsuninvhsithahsthi itsulaha tsiyuhi unatsa'v'i khvwahsthawathvhse'i
cherokee_new_testament/split_audio/mark_01_22.wav,unihskwhanikhohsenho nuhsthv thatheyhohvhskhv'i thutheyhoneyheno ulhinikhithv tsuho nahskhiya'i vtlhhano thnowhelihskhi thanatheyohvhskhv nahskhiya yikhehsei
cherokee_new_testament/split_audio/mark_01_23.wav,tsunilawihsthiynho ayae ahskhaya khathaha athanhvhtho uya'i ale uwelhunhe
cherokee_new_testament/split_audio/mark_01_25.wav,tsihsanho uhskhatse'i hi'a nuwehse'i elhawe hvna ale hinukho'i
cherokee_new_testament/split_audio/mark_01_26.wav,khathahanho athantho lvthehsthhanv ale ahsthaya uwelhunhv unukhotse'i
cherokee_new_testament/split_audio/mark_01_29.wav,khilakwhon iyvth thikhalawi'ihsthiyi tsuninukhotsv hsawani ale enithi aninelv wuniyvlhe'i anehe tsimi ale tsani
cherokee_new_testament/split_audio/mark_01_30.wav,sawaninho uthali'i utsi khankhe utlhhvkhe uthilhehvhskhe'i khilakwhno iyvth khvwanonhele'i
